objid,author_ML_score,protege_score,protege_rank,ra,dec,peak_flux,x,y,original_image,obj_size_pixels,evaluation_subset_author_ML_score
img42_isl2234,4,4.364287459410642,0,5.2379,-25.6637,0.00015805897949,1599,1984,Abell_22_aFix_pol_I_Farcsec_5pln_cor.FITS,119,-1
img45_isl2582,4,4.35666540318138,1,87.0171,-21.8809,0.00025392243933,1816,1884,Abell_3365A_noFix_pol_I_Farcsec_5pln_cor.FITS,101,-1
img30_isl3595,5,4.29527379246554,2,253.5382,-82.6573,0.00036473641602,2782,316,J1705.1-8210_aFix_pol_I_Farcsec_5pln_cor.FITS,104,5
img27_isl2417,5,4.281595834290388,3,15.699,-21.9597,0.00032996272649,1778,1568,Abell_133_aFix_pol_I_Farcsec_5pln_cor.FITS,126,-1
img4_isl175,4,4.232556534551026,4,37.2171,-41.4009,0.0002097535586,131,3187,J0225.9-4154_aFix_pol_I_Farcsec_5pln_cor.FITS,87,4
img42_isl3591,4,4.226859710771777,5,5.0017,-25.8865,0.00011283076978,2240,1312,Abell_22_aFix_pol_I_Farcsec_5pln_cor.FITS,136,-1
img105_isl5803,4,4.219330454395971,6,54.4985,-82.2254,0.00021963749109,2985,1653,J0351.1-8212_aFix_pol_I_Farcsec_5pln_cor.FITS,133,-1
img11_isl2394,5,4.203172578958952,7,10.3721,-9.3708,0.00093343712067,2049,1649,Abell_85_aFix_pol_I_Farcsec_5pln_cor.FITS,278,-1
img114_isl5808,4,4.141627630277666,8,78.1962,-54.2547,0.00011347739113,3502,2580,J0516.6-5430_aFix_pol_I_Farcsec_5pln_cor.FITS,78,-1
img94_isl5542,3,4.140681361398729,9,48.8324,-44.7224,0.00017771751038,3082,330,J0317.9-4414_aFix_pol_I_Farcsec_5pln_cor.FITS,102,-1
img47_isl2913,4,4.137546979793483,10,99.4191,-48.4988,0.00032140142036,1629,1745,J0637.3-4828_aFix_pol_I_Farcsec_5pln_cor.FITS,178,-1
img50_isl2971,4,4.12915131591718,11,61.6929,-71.4031,0.0001717184824,1726,1359,J0406.7-7116_aFix_pol_I_Farcsec_5pln_cor.FITS,123,-1
img109_isl5412,4,4.116619907469399,12,81.8802,-39.7341,0.00021463629418,2515,944,J0528.9-3927_B_aFix_pol_I_Farcsec_5pln_cor.FITS,116,-1
img112_isl1309,3,4.115426693074986,13,318.6383,-82.8907,0.00068696390344,882,1237,J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor.FITS,121,-1
img12_isl2506,4,4.114292711998483,14,356.0503,-85.3039,0.0001241621623,1479,1354,J2340.1-8510_aFix_pol_I_Farcsec_5pln_cor.FITS,103,-1
img78_isl1129,4,4.107955067675457,15,3.9591,-30.5203,0.00013163733143,791,1393,Abell_2744_aFix_pol_I_Farcsec_5pln_cor.FITS,78,-1
img74_isl2916,4,4.103874650279311,16,212.6022,-43.3219,0.00896132193662,1764,160,J1410.4-4246_aFix_pol_I_Farcsec_5pln_cor.FITS,164,-1
img101_isl2563,3,4.08891983147641,17,190.2015,-48.2241,0.00089166236958,1451,2329,J1240.2-4825_aFix_pol_I_Farcsec_5pln_cor.FITS,129,-1
img72_isl3191,4,4.08141049913093,18,215.9094,-54.7324,0.00012609779726,1764,204,J1423.7-5412_aFix_pol_I_Farcsec_5pln_cor.FITS,122,-1
img72_isl3109,4,4.0791789180704425,19,215.9238,-54.1276,0.00011041803042,1740,1946,J1423.7-5412_aFix_pol_I_Farcsec_5pln_cor.FITS,73,-1
img58_isl1600,5,4.055108471835517,20,90.5535,-39.9463,0.01801300115617,1513,1925,Abell_3376_aFix_pol_I_Farcsec_5pln_cor.FITS,209,-1
img3_isl1707,4,4.04609770895039,21,203.0299,-31.7662,0.0002110457335,1177,1527,Abell_3562_aFix_pol_I_Farcsec_5pln_cor.FITS,162,-1
img78_isl2365,4,4.045263534698476,22,3.585,-30.3862,0.00043930863515,1762,1799,Abell_2744_aFix_pol_I_Farcsec_5pln_cor.FITS,391,-1
img74_isl4684,4,4.042037270085326,23,212.1805,-42.3431,0.00028055144239,2662,2976,J1410.4-4246_aFix_pol_I_Farcsec_5pln_cor.FITS,81,-1
img36_isl1355,5,4.040700804812069,24,93.1015,-48.5722,0.0001785995746,838,2401,J0610.5-4848_aFix_pol_I_Farcsec_5pln_cor.FITS,67,-1
img73_isl3646,4,4.039435628059964,25,124.9295,-57.4817,9.151157323e-05,2325,596,J0820.9-5704_aFix_pol_I_Farcsec_5pln_cor.FITS,230,-1
img3_isl3334,4,4.026283764365423,26,202.6981,-31.7329,0.00116747825163,2027,1628,Abell_3562_aFix_pol_I_Farcsec_5pln_cor.FITS,142,-1
img37_isl3781,4,4.011761655505036,27,86.1896,-25.85,0.00073161819645,3347,1101,Abell_548_aFix_pol_I_Farcsec_5pln_cor.FITS,441,-1
img22_isl4812,3,4.004681522632511,28,356.5397,-28.3118,0.00016491279764,2710,1479,Abell_4038_aFix_pol_I_Farcsec_5pln_cor.FITS,87,-1
img114_isl2652,4,3.978135235586683,29,79.1583,-54.3988,0.00038667132652,1808,2157,J0516.6-5430_aFix_pol_I_Farcsec_5pln_cor.FITS,259,-1
img97_isl3910,4,3.976059751596176,30,91.2949,-49.2995,0.00016592193281,2716,2359,J0607.0-4928_aFix_pol_I_Farcsec_5pln_cor.FITS,58,-1
img110_isl5493,4,3.975005495062844,31,18.9395,-26.8452,7.8375556e-05,3288,2093,Abell_2895_noFix_pol_I_Farcsec_5pln_cor.FITS,70,-1
img52_isl299,5,3.973350598705745,32,239.2661,-83.4456,0.00125835745105,293,2117,J1539.5-8335_aFix_pol_I_Farcsec_5pln_cor.FITS,125,-1
img52_isl3744,4,3.972573971573681,33,233.8466,-83.6289,0.00037234195988,2082,1635,J1539.5-8335_aFix_pol_I_Farcsec_5pln_cor.FITS,114,-1
img83_isl1997,4,3.9673992245757344,34,58.6519,-74.0602,0.00346895923317,1319,1653,J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor.FITS,518,-1
img17_isl2541,4,3.955866560033774,35,240.4375,-75.7542,0.00078590740713,1780,1751,J1601.7-7544_aFix_pol_I_Farcsec_5pln_cor.FITS,119,-1
img5_isl7348,4,3.939704755220729,36,112.2114,-75.4619,0.00011587470904,3411,673,J0738.1-7506_aFix_pol_I_Farcsec_5pln_cor.FITS,88,4
img13_isl2301,5,3.936973677497832,37,22.9925,-14.1092,0.00024162072441,1800,202,Abell_209_aFix_pol_I_Farcsec_5pln_cor.FITS,77,5
img80_isl264,4,3.930223504866768,38,199.1117,-24.7373,0.00042922691569,405,3369,RXCJ1314_aFix_pol_I_Farcsec_5pln_cor.FITS,79,4
img18_isl3252,4,3.926715433136696,39,41.3581,-53.0251,0.00216916364986,1883,1847,Abell_S295_aFix_pol_I_Farcsec_5pln_cor.FITS,169,4
img21_isl6014,4,3.920189956423882,40,357.1544,-19.6235,0.00047382779325,3399,2560,RXCJ2351.0-19_noFix_pol_I_Farcsec_5pln_cor.FITS,112,-1
img22_isl2766,4,3.918360348473013,41,356.92,-28.1451,0.01362791528989,1701,1983,Abell_4038_aFix_pol_I_Farcsec_5pln_cor.FITS,229,-1
img28_isl343,3,3.918187786482144,42,34.7975,-47.9754,0.00192859478428,360,2699,J0216.3-4816_aFix_pol_I_Farcsec_5pln_cor.FITS,327,3
img64_isl1861,4,3.915938043659701,43,73.566,-10.1042,0.00973037056545,1643,2132,Abell_521_noFix_pol_I_Farcsec_5pln_cor.FITS,237,-1
img5_isl3042,4,3.902852968738559,44,114.8744,-75.5915,0.00564384477284,1488,332,J0738.1-7506_aFix_pol_I_Farcsec_5pln_cor.FITS,538,4
img11_isl2039,4,3.900186609624064,45,10.4692,-9.4296,0.01101776112707,1760,1472,Abell_85_aFix_pol_I_Farcsec_5pln_cor.FITS,248,-1
img44_isl4952,4,3.899438947003608,46,6.1195,-50.6852,0.0001543737608,3041,471,J0027.3-5015_aFix_pol_I_Farcsec_5pln_cor.FITS,50,-1
img40_isl408,4,3.898461183772395,47,65.012,-54.9308,0.03404577794719,363,3127,J0416.7-5525_aFix_pol_I_Farcsec_5pln_cor.FITS,380,-1
img29_isl3219,5,3.896028167057031,48,94.2505,-47.8111,0.00014153738527,1677,1710,J0616.8-4748_aFix_pol_I_Farcsec_5pln_cor.FITS,66,-1
img12_isl2806,3,3.8880293302454656,49,355.4447,-85.7186,0.00039471571264,1629,171,J2340.1-8510_aFix_pol_I_Farcsec_5pln_cor.FITS,99,-1
img35_isl2457,4,3.884460328943733,50,104.6576,-55.9723,0.02471275165794,1683,1655,J0658.5-5556_aFix_pol_I_Farcsec_5pln_cor.FITS,362,-1
img3_isl1936,4,3.884172232252803,51,202.9838,-31.2607,0.00015520924363,1292,3051,Abell_3562_aFix_pol_I_Farcsec_5pln_cor.FITS,125,-1
img63_isl2985,4,3.8787152944948655,52,64.3956,-11.9082,0.01092628525069,1725,1730,MACSJ0417.5-1155_aFix_pol_I_Farcsec_5pln_cor.FITS,202,-1
img3_isl213,5,3.876237966968484,53,203.388,-31.6899,0.01844780632314,258,1753,Abell_3562_aFix_pol_I_Farcsec_5pln_cor.FITS,164,-1
img76_isl494,5,3.873224657540497,54,21.4955,-1.3291,0.05783700306909,1659,1940,Abell_194_aFix_pol_I_Farcsec_5pln_cor.FITS,1229,5
img55_isl1820,5,3.865144130478408,55,67.5749,-61.5427,0.14905738242218,2106,1444,J0431.4-6126_aFix_pol_I_Farcsec_5pln_cor.FITS,229,-1
img56_isl2389,4,3.854343605201404,56,3.3725,-19.5003,0.00067128503388,1760,1730,Abell_13_noFix_pol_I_Farcsec_5pln_cor.FITS,226,-1
img58_isl1075,4,3.850216044614098,57,90.7745,-40.0834,7.874579725e-05,1004,1511,Abell_3376_aFix_pol_I_Farcsec_5pln_cor.FITS,121,-1
img95_isl2219,4,3.84699546742828,58,86.5309,-48.2321,0.01538427583201,1435,888,J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor.FITS,168,-1
img27_isl2499,5,3.8454073546507255,59,15.6751,-21.8837,0.01535559505112,1844,1797,Abell_133_aFix_pol_I_Farcsec_5pln_cor.FITS,409,-1
img65_isl986,5,3.844911548312454,60,36.4583,-29.612,0.00109919769328,1520,1406,RXCJ0225.1-22928_aFix_pol_I_Farcsec_5pln_cor.FITS,295,5
img77_isl1523,4,3.8435911688454034,61,95.9471,-54.7124,0.00212054175981,3312,1067,J0627.2-5428_aFix_pol_I_Farcsec_5pln_cor.FITS,120,-1
img58_isl1367,4,3.836516460242305,62,90.6349,-39.8213,0.00152124003114,1324,2302,Abell_3376_aFix_pol_I_Farcsec_5pln_cor.FITS,334,-1
